Model,Z,mu_prior_sd,tau_halfcauchy_scale,mu_mean,mu_sd,mu_2.5%,mu_97.5%,tau_mean,tau_sd,tau_2.5%,tau_97.5%,Rhat_mu,Rhat_tau,tau_accept_rate,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage
Ind_FixedZ0.9_muSD5_HC1.0,0.9,5.0,1.0,0.36018707594621513,0.034093648725645534,0.2999322502629965,0.453293809364035,0.1632983612076126,0.05137409923069326,0.09417157615277956,0.2797592670188981,1.0203434630340713,1.3926018723978741,0.18775,1.773727819311594,0.13008274536271508,1.7708647583628416,0.9308855291576674
Ind_FixedZ0.9_muSD10_HC1.0,0.9,10.0,1.0,0.36020175802649046,0.03409415722745599,0.2999459619291862,0.4533106591832406,0.1632983612076126,0.05137409923069326,0.09417157615277956,0.2797592670188981,1.0203433339403998,1.3926018723978741,0.18775,1.7737288946838028,0.1300974076508206,1.7708647583628416,0.9308855291576674
Ind_FixedZ0.9_muSD5_HC5.0,0.9,5.0,5.0,0.3715259418684331,0.039502846227565856,0.2853430267167204,0.44114400021865435,0.18847577354501657,0.05275215358773836,0.10507651894170685,0.3279597285114246,1.1223973759185273,1.0708451867051267,0.19366666666666668,1.774553546099562,0.1407253819569977,1.7708782833272998,0.9308855291576674
Ind_FixedZ0.9_muSD10_HC5.0,0.9,10.0,5.0,0.37154118144749504,0.03950376673213918,0.28535535973088394,0.44116047909784034,0.18847577354501657,0.05275215358773836,0.10507651894170685,0.3279597285114246,1.1224033199138133,1.0708451867051267,0.19366666666666668,1.7745547526449215,0.14074059573232986,1.7708782833272998,0.9308855291576674
Ind_FixedZ0.9_muSD5_HC2.5,0.9,5.0,2.5,0.3533407989276885,0.04026434275560979,0.26225820229933317,0.41841395127738956,0.18623886083787297,0.04534867224689372,0.12892721282435382,0.29949910482122494,1.0831915462263653,1.2739209390131805,0.1865,1.7752516323950793,0.12411950399548484,1.7728228421903411,0.9330453563714903
Ind_FixedZ0.9_muSD10_HC2.5,0.9,10.0,2.5,0.3533553771779881,0.040265189226593154,0.26227119827813233,0.41843010093197147,0.18623886083787297,0.04534867224689372,0.12892721282435382,0.29949910482122494,1.0831939160995414,1.2739209390131805,0.1865,1.7752526501075439,0.12413405924462571,1.7728228421903414,0.9330453563714903
Ind_FixedZ0.7_muSD5_HC1.0,0.7,5.0,1.0,0.38352466143560104,0.02689189837521509,0.32951616710158493,0.43042432784525536,0.12685816428371008,0.03194005243515053,0.07340639649536106,0.2106853960327004,1.0832027314859223,1.3518655746424542,0.19116666666666665,1.7765136709194798,0.1529258678889062,1.771833810706899,0.9352051835853131
Ind_FixedZ0.7_muSD10_HC1.0,0.7,10.0,1.0,0.38353710359913407,0.02689214912780239,0.32952844612070287,0.43043726182572845,0.12685816428371008,0.03194005243515053,0.07340639649536106,0.2106853960327004,1.0832064755139816,1.3518655746424542,0.19116666666666665,1.7765147396009744,0.15293828207903526,1.771833810706899,0.9352051835853131
Ind_FixedZ0.7_muSD5_HC5.0,0.7,5.0,5.0,0.3871682817822998,0.03122683072185338,0.32835843929309133,0.44897654112472635,0.1377545441527406,0.03333128591489904,0.08768788462721751,0.2024583232762976,1.1024874138923328,1.4725117483720043,0.19466666666666668,1.7771464636104466,0.15767398600141,1.7720526779362844,0.937365010799136
Ind_FixedZ0.7_muSD10_HC5.0,0.7,10.0,5.0,0.38718087001727075,0.031227261467305725,0.3283706401845221,0.4489906424825468,0.1377545441527406,0.03333128591489904,0.08768788462721751,0.2024583232762976,1.10249149340079,1.4725117483720043,0.19466666666666668,1.7771475775245396,0.1576865404522393,1.7720526779362844,0.937365010799136
Ind_FixedZ0.7_muSD5_HC2.5,0.7,5.0,2.5,0.3999275067368328,0.032896114577525545,0.33422101250369735,0.45726390282910184,0.13081940377509657,0.03115178478353673,0.08166290652181904,0.20926786261753208,1.040253191965411,1.0891485281158528,0.19133333333333333,1.7774692396165,0.16996929055824725,1.7712377954298468,0.9330453563714903
Ind_FixedZ0.7_muSD10_HC2.5,0.7,10.0,2.5,0.3999404384906406,0.03289652362602197,0.3342332807543704,0.45727713802230907,0.13081940377509657,0.03115178478353673,0.08166290652181904,0.20926786261753208,1.0402543527126416,1.0891485281158528,0.19133333333333333,1.7774704732865576,0.16998219128942432,1.7712377954298468,0.9330453563714903
Ind_FixedZ0.5_muSD5_HC5.0,0.5,5.0,5.0,0.4260221466692632,0.026256896406079845,0.3777315243293427,0.49677340283526067,0.1112771958579555,0.028032950880724942,0.06848189459628176,0.1769267089070162,1.018324142639477,1.0172745204460365,0.19258333333333333,1.7797074698847513,0.19582466534736148,1.7708145387666525,0.9352051835853131
Ind_FixedZ0.5_muSD10_HC5.0,0.5,10.0,5.0,0.42603358083482024,0.02625711326268283,0.3777425241044128,0.4967855695910257,0.1112771958579555,0.028032950880724942,0.06848189459628176,0.1769267089070162,1.0183247682802619,1.0172745204460365,0.19258333333333333,1.7797087243694476,0.19583606611538582,1.7708145387666525,0.9352051835853131
Ind_FixedZ0.5_muSD5_HC2.5,0.5,5.0,2.5,0.43022190473574623,0.024703355333843005,0.3743948688975962,0.4750161500551649,0.12333830537468002,0.0343007433385437,0.06631017844418981,0.1997163705973296,1.0320224859641978,1.4092482157950708,0.18583333333333332,1.7801988068279349,0.19934414507974324,1.770915930006593,0.9352051835853131
Ind_FixedZ0.5_muSD10_HC2.5,0.5,10.0,2.5,0.4302335326633363,0.024703630184146768,0.3744061869763184,0.4750278161010956,0.12333830537468002,0.0343007433385437,0.06631017844418981,0.1997163705973296,1.0320231320463502,1.4092482157950708,0.18583333333333332,1.780200104241819,0.19935573101507104,1.770915930006593,0.9352051835853131
Ind_FixedZ0.5_muSD5_HC1.0,0.5,5.0,1.0,0.43057030626757103,0.03406278207003157,0.3628096352507945,0.4887319981993872,0.12096078015514851,0.017194875551222098,0.09232052177456267,0.16209274228161252,1.133568191298136,1.051966802235349,0.19025,1.782332184423916,0.19948796079370001,1.773048906030919,0.9330453563714903
Ind_FixedZ0.5_muSD10_HC1.0,0.5,10.0,1.0,0.4305817375048057,0.034063306621529274,0.3628203260552225,0.48874438857170505,0.12096078015514851,0.017194875551222098,0.09232052177456267,0.16209274228161252,1.133569926487379,1.051966802235349,0.19025,1.7823334595470512,0.19949935310486847,1.773048906030919,0.9330453563714903
